actor_id,name_unified,year_birth,year_death
121291395,"A. and J. Churchill (Booksellers : London, England),",NA,NA
NV34630,A. B.,NA,NA
NV34639,A. B.,NA,NA
NV34666,A. B.,NA,NA
156396113,"A. Bettesworth and C. Hitch (Firm),",NA,NA
45784659,A. D. (Andrew Dunton).,NA,NA
NV341,"A. H., A.M., Chaplain to the Duke of Richmond.",NA,NA
NV34760,A. J.,NA,NA
NV34804,A. N.,NA,NA
NV34829,A. P.,NA,NA
9878598,"Abbadie, Jacques, 1654-1727.",1654,1727
58029632,"Abell, John, 1653?-approximately 1716.",1653,1716
50497181,"Abernethy, John, 1680-1740.",1680,1740
22941406,"Ackers, Charles",1702,1769
6346180,"Acton, Samuel, -1740?.",NA,1740
18111249,"Adams, George, 1709-1772.",1709,1772
50638699,"Adams, George, 1716 or 1717-1783?.",1716,1783
18634944,"Adams, James, approximately 1677-1734.",1677,1734
1435790,"Adams, William",1717,1725
49077475,"Adcock, Thomas.",NA,NA
7413288,"Addison, Joseph, 1672-1719.",1672,1719
262214286,"Aelfric, Abbot of Eynsham.",955,1020
2813524,"Aickin, Joseph.",NA,NA
305027962,"Aitken, John,",NA,NA
76165466,"Akenhead, R.",1700,1765
286175745,"Alberti, Leone Battista, 1404-1472.",1404,1472
347904,"Albin, Eleazar, active 1713-1759.",1713,1759
87555620,"Alcock, John, 1715-1806.",1715,1806
39723085,"Alingham, William, active 1694-1710.",1694,1710
27416747,"Allen, Benjamin, 1663-1738.",1663,1738
75310262,"Allen,",NA,NA
23560539,"Allen, George, active 1750-1771.",1750,1771
121012426,"Allen, James, 1632-1710.",1632,1710
18614498,"Allen, John, 1660?-1727?,",1660,1727
28492643,"Allen, Joshua.",NA,NA
10192598,"Allestree, Thomas, 1637 or 1638-1715.",1637,1715
70348880,"Allt, William.",NA,NA
60501659,"Almanza, Aron de.",NA,NA
199851884,"Amery, John",1669,1712
17072248,Amicus reipublicae.,NA,NA
23560518,"Anderson, Hugh, -1748",NA,1748
100237017,"Anderson, James, approximately 1680-1739.",1680,1739
53988401,"Andrews, Richard, of Havant.",NA,NA
2508820,"Annet, Peter, 1693-1769.",1693,1769
41893590,"Anson, George Anson, Baron, 1697-1762.",1697,1762
49077577,"Anstruther, Captain, of Spencerfield.",1700,NA
25996498,"Antes, Henry, 1701-1755,",1701,1755
40756970,"Aplin, John, -1772.",NA,1772
63900891,"Applebee, John",1690,1750
264664735,"Arbuckle, James.",1700,1742
88134783,"Arbuthnot, Archibald.",NA,NA
51684915,"Arbuthnot, John, 1667-1735.",1667,1735
35846441,"Armbruster, Anthony, 1717?-1796,",1717,1796
38308029,"Armbruster, Godhart,",NA,NA
57002419,"Arnald, Richard, 1700-1756.",1700,1756
56962005,"Arnaud de Ronsil, Georges, 1698-1774.",1698,1774
71240953,"Arnold, Cornelius, 1711-1757?.",1711,1757
304988399,"Arnold, Richard.",NA,NA
100290213,"Arnoux, Claude, professeur.",1695,1770
72773837,"Arthur, John, 1708?-1772.",1708,1772
29569701,"Asgill, John, 1659-1738.",1659,1738
41690249,"Ashburner, Thomas",1704,1778
121294532,"Assigns of Henry Hills,",NA,NA
121294681,assigns of J. Sowle,NA,NA
138836470,assignes of John Bill,NA,NA
121292554,assigns of Richard and Edward Atkins,NA,NA
121294521,"Assigns of Thomas Newcomb,",NA,NA
51540282,"Astley, T.",1718,1759
40756894,"Aston, Tony, approximately 1682-approximately 1753.",1682,1753
66319528,"Astwood, Nathanael,",NA,NA
100998899,"Atkinson, James, active 1667-1715.",1667,1715
14621058,"Atkinson, James, approximately 1690-1761.",1690,1761
NV1459,"[Atkinson, John, active 18th century,",NA,NA
69152778,"Aubin, Penelope, 1679-1731.",1679,1731
71241117,"Auchinleck, Al.",NA,NA
306098906,Author of the Attorney's practice epitomized.,1700,NA
NV1678,Author of the Familar catechism.,NA,NA
187200840,"Author of The Hebrew campaign, and Review.",NA,NA
NV_BH_X0113150X,Author of the Tale of a tub.,1673,1742
NV1792,Author of the Temple of war.,NA,NA
36814478,"Awbery, William, active 1715-1734.",1715,1734
43242792,"Axford, John.",NA,NA
38934419,"Ayliffe, John, 1676-1732.",1676,1732
41690231,"Aylmer, Brabazon",1670,1710
30941817,"Ayrault, Daniel",1677,1764
56968358,"Ayre, William.",NA,NA
10197868,"Ayres, John, active 1680-1700.",1680,1700
317106727,"Ayscough, William",1710,1719
NV34931,B. P.,NA,NA
30929823,"Backus, Joseph, 1667-1740,",1667,1740
NV1940,"Bacon, Thomas, -1768,",NA,NA
315655246,"Bacon, Thomas, of the Custom-House, Dublin.",NA,NA
17525022,"Badeslade, Thomas.",1718,1750
NV1991,"[Baily, Esther],",NA,NA
NV1992,"[Baily, T.],",NA,NA
NV1993,"Baily, Thomas",NA,NA
20018411,"Baker, Henry, 1698-1774.",1698,1774
304996234,"Baker, John.",1680,1717
33425968,"Baker, J.",1680,1717
51283112,"Baker, John, active 1703-1725,",1703,1725
61394835,"Baker, Sarah, of the Society of Friends.",NA,NA
4781943,"Baker, William (Grammarian)",NA,NA
36972115,"Baldwin, A.",1658,1713
12162986,"Baldwin, R.",1724,1810
32051268,"Balfour, J.",1715,1795
314839944,"Ball, Nathaniel, 1711 or 1712-1766.",1711,1766
304108186,"Ball, Roger, minister of the Gospel.",NA,NA
73704648,"Ballantyne, George.",NA,NA
63971217,"Ballard, Samuel, -1761,",NA,1761
72811927,"Ballard, Thomas, active 1698-1734.",1690,1734
29434937,"Balls, Roger.",NA,NA
95294215,"Bancks, John, 1709-1751.",1709,1751
76166012,"Banister, William,",NA,NA
NV2128,"Bantley, Doctor (R.B).",NA,NA
93581020,"Barber, Abraham, -1730.",NA,1730
75464548,"Barber, James, Rev.",NA,NA
304995064,"Barber, John,",NA,NA
NV2330,"Barber, John",1675,1741
288059512,"Barber, Mary, approximately 1685-1755.",1685,1755
68782645,"Barclay, James, rector of the grammar school at Dalkeith.",NA,1765
51543464,"Barker, B. (Benjamin), -1764,",NA,1764
24195537,"Barker, J.",1749,1831
43242771,"Barker, Ralph, 1648-1708,",1648,1708
9742242,"Barnes, J.",1749,1757
283247334,"Barrett, Serenus, 1677-",1677,NA
49190996,"Barry, James.",NA,NA
NV2489,"Barry, James, active 1650-1702.",NA,NA
56532606,"Barry, John, active 1744-1748,",1794,1748
26221994,"Barstow, B",1744,1750
61398095,"Bartlett, John, of Canterbury.",NA,NA
65472888,"Barton, Richard, 1706 or 1707-1759.",1706,1759
70334473,"Bartram, Archibald, 1774?-1808,",1774,1808
76422949,"Basire, James, 1730-1802,",1730,1802
30718937,"Baskett, John",1666,1742
54199802,"Baskett, Thomas",1700,1761
24979799,"Baston, Thomas.",NA,NA
35873781,"Bate, James, 1703-1775.",1703,1775
49081410,"Bateman, Richard Thomas, 1712 or 1713-",1712,NA
88457570,"Bates, C.",1650,1728
68924186,"Pulteney, William, Earl of Bath, 1684-1764.",1684,1764
40811864,"Bathurst, C.",1709,1786
256388966,"Batley, J.",1732,1737
39230328,"Battam, Anne, -approximately 1755.",NA,1755
305009798,"Battersby, William,",NA,NA
14847469,"Baxter, Andrew, 1686?-1750.",1686,1750
61982621,"Baxter, Joseph, 1676-1745.",1676,1745
38284593,"Baylye, Thomas.",NA,NA
NV2610,"Beardwell, B.",1681,1707
241569266,"Beart, John, 1673-1716.",1673,1716
72798198,"Bechtel, Johannes, 1690-1777,",1690,1777
5267040,"Bedford, Arthur, 1668-1745.",1668,1745
16241875,"Beebee, Samuel, approximately 1660-1741.",1660,1741
29387991,"Beecroft, J.",1731,1779
70455998,"Piesly,",1700,1760
NV2705,"Beet, Thomas",NA,NA
76688679,"Beiler, Benedictus.",NA,NA
43244772,"Belknap, Nathaniel,",NA,NA
304996768,"Bell, Andrew,",NA,NA
210259891,"Bell, Andrew, -1720?,",1670,1720
7749566,"Bellamy, D. (Daniel), 1687-",1717,1788
2319691,"Bellinger, Charles.",1875,1937
54544681,"Bellinger, Francis, -1721.",NA,1721
39230532,"Benet, Gilbert.",NA,NA
60457433,"Bennet, Philip, -1752.",NA,1752
53155389,"Bennet, Robert, active 1718-1721.",1768,1721
51743443,"Bennet, Thomas",1664,1706
24485822,"Benskin, T.",1650,1750
59135638,"Bent, William, 1747-1823.",1747,1823
225739316,"Bentley, R.",1645,1697
42186278,"Berault, Peter.",NA,NA
NV2938,"Berington, E.",1711,1729
2821526,"Berington, Simon, 1680-1755.",1680,1755
66322503,"Bernardi, John, 1657-1736.",1657,1736
NV2979,"Berrington, E.",1711,1729
NV2982,"Berry, Ben.",NA,NA
304982438,"Berry, John,",NA,NA
23545439,"Berry, John, -1795,",NA,1795
NV2985,"Bertin, Joseph.",NA,NA
73704902,"Bertram, Charles, 1723-1765.",1723,1765
228701119,"Bettenham, J.",1683,1774
36768263,"Bettesworth, A.",1690,1739
28609392,"Betts, Edward.",1700,NA
34310816,"Beverton, Simon.",NA,NA
262030874,"Bew, J.",1759,1793
21996443,"Bewick, William, 1670 or 1671-1747?.",1670,1747
67823678,"Bickerton, G.",NA,NA
17074833,"Bickerton, W.",1726,1746
168002037,"Biester, Johann Peter.",1669,1716
36774547,"Bigs, Richard.",NA,NA
44350696,"Bill, Charles",1687,1711
248204401,"Bilstone, John, 1698 or 1699-1767.",1698,1767
305200082,"Binauld, William,",1763,NA
29853650,"Bion, Jean François, 1668-approximately 1735.",1668,1735
300012366,"Birch, Tim.",NA,NA
NV3092,"Bird, T., Lieutenant.",NA,NA
NV3098,Birmingham blind man.,NA,NA
63858034,"Birt, S.",1711,1755
26032795,"Birt, William.",NA,NA
NV3131,"Bissel, J.",1690,1700
71742773,"Bisset, William, 1669?-1747.",1669,1747
76169600,"Blacklock, Thomas, 1721-1791.",1721,1791
52088315,"Blackwell, Henry.",NA,NA
28441771,"Blackwell, John, -1739.",NA,1739
54004201,"Blackwell, Robert, gent.",NA,NA
229360957,"Bladon, S.",1733,1799
34885298,"Blair, Samuel, 1712-1751.",1712,1751
19533834,"Blair, Thomas, of Edinburgh.",NA,NA
66322672,"Blake, Malachi, 1687-1760.",1687,1760
67836792,"Blanch, John, 1649 or 1650-",1650,NA
2027934,"Blanch, N.",NA,NA
18640906,"Blanchard, J.",NA,NA
7244898,"Bland, James, Professor of Physic.",NA,NA
63569946,"Bland, John, 1702-1750.",1702,1750
78632420,"Blau, Robert, active 1710.",1710,NA
51544358,"Blennerhassett, William.",NA,NA
66322779,"Blennerhaysett, Thomas.",NA,NA
90716242,"Blome, Richard, -1705.",1635,1705
42212849,"Blomefield, Francis, 1705-1752.",1705,1752
76580506,"Blow, John, -1708.",1649,1708
49081971,"Blundel, William, 1647-1723.",1647,1723
