estc_id,actor_id
N47883,56662373
T19687,30718937
T55881,122574378
N45762,228716377
T38473,bbti_10273
W12001,60530737
T130122,bbti_29546
N5735,zmartineau_0
N34023,71283786
T179852,76189044
T60291,johnsprint_0
W30704,63012301
T127943,12361047
T2045,34044423
T111295,bbti_50130
T182012,bbti_104724
T46941,255661736
T53784,17097029
T141015,bbti_106392
W20759,8938475
T139816,bbti_8281
T177205,bbti_40501
N5557,29427704
T187785,46672298
T92380,44350961
T101364,bbti_15982
N19801,bbti_105269
T136597,231002232
T108816,22019654
N27747,samfarleyandjosbliss_0
T134031,228716377
T90487,228716377
W26261,18614498
T76514,bbti_116262
T87758,262067064
T34887,bbti_64111
W4194,63012301
T101859,17097029
T182571,thomasleigh_0
T82768,228716377
N9769,228716377
T33970,24488557
T86950,bbti_109907
T207614,willthompson_0
T138703,34412780
N67951,bbti_115734
T65882,bbti_53088
T505292,bbti_46047
T82435,44350961
T99694,bbti_60017
T143823,bbti_72801
N47416,bbti_114143
T30453,bbti_59028
N491207,gmcullon_0
T128629,bbti_51499
T98735,46649720
T33909,51926513
T125294,bbti_15982
T11591,wthurlbourn_2
T51238,46815338
T166249,51926513
T222337,33425968
T18643,229679314
W11467,40909186
T501,187519562
T17434,bbti_35731
R171427,bbti_23263
T54395,71442890
N4014,173741386
W19407,43362968
N19369,bbti_77601
N3445,41726148
T90035,bbti_73149
T94415,12361047
T193553,bbti_4224
T65263,bbti_23811
N10190,29437883
T60842,bbti_9201
T73281,bbti_26302
T164218,31070598
N7857,bbti_109907
T112711,36768263
T69690,bbti_42992
T188933,bbti_37007
N36195,bbti_107347
T231670,76189044
T79793,bbti_53584
T147783,71442890
T103280,bbti_45404
T38366,annodom_1
T120661,bbti_7686
W3290,43362968
T710,bbti_23822
T44075,NV23762
T109205,bbti_111939
T132817,bbti_107835
T104120,9733233
N11219,54200258
N16069,36768263
N19162,34511788
W39099,38347954
T48983,bbti_116057
T208881,bbti_15275
T132285,bbti_7900
T85364,24654312
N18307,bbti_46854
T227229,19566142
N28372,bbti_40501
T22343,gulielmithurlbourne_0
N29746,72798292
T197008,andrewhart_1
N505021,12221728
T124477,66642503
T67120,bbti_64112
T187703,bbti_77601
N11403,72798292
N23401,39337317
T31194,65560351
T226023,7287161
T154997,228716377
T140333,bbti_75857
W33154,58148218
N63501,228716377
T29205,39467138
T32249,33425968
N18262,johnsmith_0
T140613,bbti_27130
T207412,44195902
T210448,12361047
T163752,rford_0
T84152,228716377
T172598,228716377
N7806,guilinnys_0
T89393,73772960
T58129,230344363
N14943,thomasleigh_0
N17555,150016994
W31453,48288295
N21349,bbti_109518
T43735,bbti_73973
T1452,150016994
T202223,130132158
P2207,34296515
T179575,231002232
T132570,100328493
T43430,johnpaton_1
N497,147002053
T10689,bbti_37631
T66726,bbti_13036
N56050,24159146
T66097,bbti_73149
T260,bbti_7213
T69269,330654
T132807,228716377
W21660,18640906
T142553,66518994
T34892,bbti_2189
W30990,276236327
N23449,36768263
N476325,andrewcrook_1
N31479,georgejaffray_0
W833,11303120
T97363,19591103
T115156,thomasruddimans_0
T45969,bbti_116057
T138080,bbti_26768
T56983,33425968
T191907,122574378
T146691,26653683
T140205,bbti_20389
T140404,31070598
T22041,44148715
N37915,228701119
T107889,bbti_106365
T132864,messstablerandbarstow_1
N52350,12361109
T39804,44148715
N26522,joshuakinneir_0
N25890,georgerisk_0
T193148,jerpepyat_0
T124641,bbti_116057
T41433,bbti_7613
T11413,bbti_31555
T203121,121294363
N24541,100903333
T99358,34511788
T136233,231002232
N66291,24883136
N66542,championstgeorge_0
N13558,36818337
T112372,54200197
N67044,14365616
T125017,bbti_9744
N54080,30718937
T206467,47589
T78855,bbti_113516
T95547,sclementisecclesiam_0
T127174,61600028
T145427,ymwythig_0
T59818,255661736
N14144,rwhirlpool_0
T183723,330654
T111010,22039034
T1917,bbti_72801
T66452,13724886
T113291,263788498
T231057,caringtonbowles_0
T92479,bbti_109740
T79432,wpgiven_0
T167014,66768685
N477171,NV23762
T167430,bbti_4474
T180627,31893089
T14255,27299050
T12544,30718937
T41501,36972115
T100241,150016994
N3846,bbti_80286
T215443,missionisdanic_0
N37680,26938284
T29087,29437883
T48929,31591451
T119474,56662373
T1717,bbti_132753
T211212,12361047
N31759,173741386
T69389,228716377
N24220,bbti_113163
W12681,61982841
T62373,bbti_33480
T59423,173741386
T99401,24655896
N8897,johnhenly_0
T143103,bbti_107117
T37269,bbti_73149
T64573,30718937
T55006,georgeewing_0
T191984,bbti_60007
T181408,bbti_107957
T122515,22019654
N469388,15008766
T149514,59137424
T170630,59137424
T67145,7268151
T13805,georgerisk_0
T37817,bbti_13923
T57802,228716377
T215819,51577264
N64512,255661736
T50798,218481116
T73477,228716377
T39732,22039034
N28025,bbti_106365
T175444,311426459
T153289,bbti_5367
N472704,12361109
W20558,39196133
T115040,72811927
T19782,executrixofthomasnewcombdeceasd_0
N16681,bbti_13169
T167912,bbti_12320
T82320,56662373
T17696,122574378
N47161,samuelandfelixfarley_0
T161882,44350961
N19598,248202931
T35062,46609451
T134092,bbti_107117
N1869,bbti_108660
T183898,bbti_37007
T144978,bbti_40786
T114645,19553220
T92383,bbti_107957
N10421,24497251
T26007,34509981
T77983,bbti_106995
T29560,williamsmith_6
W37970,thomasatkinson_0
T41081,NV7569
N19074,williamsmith_6
N69216,bbti_23585
T184207,51575426
T117823,bbti_109210
T193721,64076512
W17039,38347954
T52615,bbti_64108
T146532,patrickcampbel_0
T186998,22007688
T116775,73995150
T56768,bbti_105269
T117209,bbti_70349
T19553,12361109
T70245,bbti_77601
T70502,228716377
N18978,2333156
N37953,bbti_4474
T47877,bbti_69341
T32547,bbti_63829
T169113,222770681
T98869,9741821
W35298,1465174
T7345,218481116
N63155,bbti_26887
N476796,andrewcrook_1
T28529,thomasharris_0
T123975,34511788
N27964,bbti_116465
T113273,johnbarrie_0
T95486,bbti_51499
N16590,121294681
T173895,georgerisk_0
T196294,bbti_54789
W12050,8938475
T70916,bbti_74242
N36639,bbti_40501
T68029,228716377
T5618,150016994
T106245,NV7198
T5537,bbti_20389
N39129,12361109
T116960,39253166
N52130,228716377
N14206,bbti_65134
T125937,bbti_77601
T66475,9729889
N493225,bbti_124006
T50299,bbti_109907
T228079,30718937
N1188,bbti_11071
T90477,76369374
T17690,122574378
T163794,bbti_109575
T127878,bbti_112714
T19485,54199802
W28355,63012301
T133261,bbti_15246
T191352,bbti_60899
T216956,bbti_33907
T70941,bbti_135336
T45230,7230235
T71375,bbti_10232
T102834,bbti_60899
T208880,bbti_15275
T128211,44350961
T36446,36972115
N65266,bbti_53584
N50308,29437883
T107346,bbti_45421
T128319,timothyhallifax_0
T166276,bbti_107835
T39693,bbti_112714
T122507,22019654
T161244,bbti_53305
T114135,248202931
N51042,73995150
T33526,bbti_125664
T70682,georgeewing_0
T99617,bbti_17678
T123257,williambrown_0
T52632,17569100
T150535,150016994
T12662,41727978
T108358,bbti_107835
N63463,54025507
T201442,41714688
T50255,bbti_78321
T27216,41845728
T128332,bbti_107794
T4606,31591451
N54198,12361109
N19236,46649720
N472879,bbti_73973
T35479,twhite_0
T85477,17097029
N49009,122574378
T84659,59137424
T28572,122574378
T124050,bbti_60899
T124431,bbti_53599
N52068,27299050
T169400,chussey_0
T33970,johnnicks_0
N55428,wilhamilton_0
N47368,230344634
N31742,bbti_111940
T114290,bbti_105269
N17333,bbti_4474
N7187,44350696
R22264,36782743
N7223,228716377
T42113,bbti_109740
T93753,bbti_31123
T231553,7287161
N10762,bbti_68100
T95480,bbti_13923
T28040,228716377
T130569,311426459
T490181,bbti_73560
W20670,77838521
T1934,9741821
T47551,bbti_15472
T166576,jerpepyat_0
T169514,290882611
T167874,44148715
T33665,228716377
T6018,255661736
N43931,255661736
T43777,bbti_15982
T84218,johnrivington_0
T166536,26938284
W7978,18614498
N3841,bbti_78583
T54400,228716377
W2470,38347954
T170489,jamesmaceuen_0
N28599,bbti_107957
T119567,305051344
T491281,bbti_4474
N27831,bbti_72801
T38172,228716377
T33657,17097029
T79371,19553220
W2292,56609913
N47225,45726693
T92674,17097029
T29152,44148715
W27181,4025857
T217091,bbti_125482
N16296,2355303
T66313,bbti_38273
N19165,bbti_107835
W32296,65538602
N11656,262067064
T141555,36768263
T89576,13724886
T164302,73771528
T137828,bbti_110934
N492830,65560351
T87320,bbti_75857
T90396,bbti_4484
T184274,georgerisk_0
T91068,19591103
T173477,bbti_52439
T31472,228716377
N20911,256388966
T41686,76189044
N3626,bbti_112790
N30297,bbti_109907
W39213,brderschaft_0
T90767,tbecket_0
T138398,jacknapton_0
T133421,wthurlbourn_0
N44519,21213427
T44206,bbti_51014
W19295,33552242
T146922,pdunoier_0
T91461,bbti_104617
T83428,bbti_42551
T42171,9741821
T60530,roberturie_0
W24618,43393556
N7115,johnpugh_0
T128139,mrjamesdavidsonandcompany_0
N36141,61600028
T144313,61419541
T190071,johnmonour_0
T145062,73771528
T221732,54200258
N35533,71442890
T725,bbti_107724
T188648,mrobfreebairn_0
T174012,73772960
N62550,228716377
T117580,56494757
N52116,54199802
T115138,bbti_7688
T66414,bbti_3052
T16168,150016994
N33949,bbti_67075
N3018,bbti_15441
T181415,bbti_33250
T206578,56494757
T107643,121291376
N70790,executrixofthomasnewcombdeceasd_0
N492817,43894766
N36182,222770681
T163109,jamesblow_0
N69010,bbti_72799
T109864,54025507
N8792,bbti_64335
T190403,bbti_9392
N476517,bbti_13923
T136121,bbti_48741
T10318,34343718
N31775,bbti_51014
W4331,33552242
T205644,bbti_46047
N54156,34509981
T116214,228716377
R233274,bbti_2594
T126577,73995150
T171008,smmuelwilson_0
T202844,12361047
T116446,robertiknaplock_0
N1518,bbti_15982
N15381,bbti_48210
N13005,222770681
T300085,jbsprint_0
T109898,bbti_92957
T10391,celeberrinacademitypographum_0
T136439,73995150
T146689,bbti_16114
T135970,bbti_107347
T55023,71442890
N23904,philipcrampton_0
T127455,wardandchandler_0
T173630,12183814
N21494,bbti_105768
N53237,bbti_33480
N573,roberturie_0
T215586,22007688
T76479,jamesbeugo_1
T36250,mrrobertfreebairn_0
T107392,bbti_105106
T56206,228716377
W18385,18614498
W38443,56609913
N505131,executrixofthomasnewcombdeceasd_0
N6830,bbti_91702
T204636,bbti_73149
T74258,bbti_73763
N36693,27299050
T178429,bbti_53370
T470373,44350961
W28276,55606557
T49214,bbti_77907
T147332,bbti_114094
T64898,24631271
T65892,bbti_7213
T825,bbti_14434
T66431,bbti_109575
T122876,73995150
T30876,bbti_109575
T21209,nprevost_1
T100065,bbti_107361
T143337,76192869
P3409,williammillar_0
T18423,bbti_114516
T116313,9729889
T50845,bbti_75857
T194575,bbti_105842
T75293,bbti_109575
N4015,bbti_108117
T145548,100328493
T45882,bbti_107835
T207466,bbti_63505
T188271,54025507
T147669,bbti_34912
T108583,9741821
N52344,12361109
T94565,121294681
N12080,121294363
W37772,33529902
T119831,22007688
T66362,jwilkie_7
T5147,173741386
N5535,9741821
N13195,bbti_37572
T26168,marylawrence_0
T6204,bbti_45425
T67151,173741386
T76504,132829424
T16241,222770681
N53426,executrixofthomasnewcombdeceasd_0
T19217,44350696
T209094,31893089
N67751,assignsofedwardsayeresq_0
T144953,7257114
T224389,309837281
T120879,46649720
T19823,bbti_77601
N6641,bbti_52439
T118731,46674297
N67556,bbti_4479
N23401,bbti_107361
T170582,mrjamesdavidson_0
T92383,bbti_107804
T168031,bbti_107857
T165508,bbti_7900
T188013,androanderson_0
T178358,71268062
T99108,100328493
T166827,bbti_81953
T100574,41845728
N2985,philipcrampton_0
N27773,georgepaton_1
T110168,173741386
N53372,edwardeaston_0
T111992,NV26686
N8945,bbti_114404
T130387,31868616
N27831,19553220
N36946,bbti_75858
T118298,24497251
T96101,228716377
T368,22941406
T50640,46674297
T99611,bbti_104180
T216943,20033278
N17667,bbti_80286
N414,132829424
N9480,bbti_55348
T149893,27299050
N30967,45722044
T130909,jacobigulielmiduncan_0
T186098,bbti_75857
T115865,bbti_111939
R228037,44350696
T162405,26938284
T176530,bbti_73894
T108500,263788498
T154461,georgeewing_0
T86326,johnhall_0
N504847,bbti_112322
T41904,228701119
T40381,46357770
T197007,76189044
T9612,26938284
T165258,263788498
T49547,bbti_11228
T122991,99480813
T22449,bbti_11071
T54593,21213427
N327,tsaunders_0
N39126,44350696
T54598,9741821
N68203,46815338
N505112,bbti_10233
N48959,bbti_69695
T26506,228716377
T183835,robertfleming_0
T129312,30689593
T98896,bbti_66610
N36395,bbti_108679
T117059,70357787
T138489,150016994
T76900,bbti_9201
T169277,bbti_35352
T92394,johnmosman_0
T117978,17087371
T51962,9741821
T169660,joshuakinneir_0
T174924,36814575
T164665,12361109
N46171,bbti_107957
T76836,bbti_116081
N45793,bbti_59028
W11860,134967802
T13286,bbti_49978
T187579,17097029
T82691,19553220
T36592,44191542
T4361,9741821
T30755,bbti_55222
T53564,15008766
T140581,330654
T79549,edward_1
T42361,bbti_75857
N10247,26938284
N53283,44350696
N473968,44350696
N64483,12361109
R43002,100328493
W13153,59137165
T184388,271231118
T115564,255661736
T180237,bbti_36018
N56011,andrewcrook_1
T145152,173741386
T113611,gulielmibowyer_0
T178075,bbti_107361
T69004,bbti_53584
T165578,robertgardner_0
T46863,bbti_17678
T212355,48823380
N65396,thomasbaily_0
T138312,100328493
T75794,bbti_111209
T58246,122574378
T126979,andrewcrook_1
T89694,51557323
N50410,29437883
T4301,jameshodges_1
W249,38347954
T179496,bbti_8281
T63526,bbti_76655
N9268,bbti_44618
T92171,bbti_116780
T91614,228716377
T208695,bbti_7900
T134884,34511788
T146297,37790832
N19350,21213427
N20294,robertfreebairn_0
T138697,63858034
T125562,71283786
T123003,51926513
T16458,bbti_73278
N48378,12203344
T161355,bbti_34291
W16126,59137165
T224463,bbti_72994
T181109,44350961
T39870,248202931
T38599,17097029
T191981,122574378
T201445,60507968
T19942,222770681
T131519,bbti_115820
N7866,26936995
T114317,63858034
T62402,34509981
T598,bbti_103763
N65065,bbti_45421
T56125,bbti_7688
W31395,43404380
T478388,johnloveday_0
T144134,bbti_60899
T69150,54025054
T46669,henryjones_0
W18636,18614498
T208093,bbti_51700
N490076,74154439
T55150,22941406
T30662,bbti_52448
T207854,72798292
N43203,bbti_124892
T185676,17097029
T148125,51926513
T136962,bbti_108069
T103635,bbti_45404
T53916,jamesmccoul_0
N23804,26653683
T173285,34509981
N10539,34509981
N34068,17097029
T175365,58966351
T138471,311426459
N64397,12361109
T201827,patrickcampbel_0
T104499,bbti_7900
T100626,rhett_1
T182555,NV_BH_X06778093X
T89045,12361047
T189922,ahinde_0
T143347,26025873
T164827,44350696
T18112,122574378
T81138,248202931
N14581,27299050
T39201,bbti_5367
T217144,sbutler_0
N11788,margtrhames_0
T108736,bbti_73973
T95282,bbti_114073
T94065,bbti_73174
N56676,222770681
N938,36768263
P219,51557323
T145558,bbti_132753
T109175,jandjrivington_0
T213287,36768263
T42063,34509981
T61951,bbti_51499
T136217,NV7198
T122464,bbti_114143
T200710,bbti_72801
T147725,19553220
T41220,255661736
N53480,44350696
T169520,54200197
