estc_id,publication_place,publication_year,format
T108509,London,1800,12mo
T38980,London,1707,4to
T69564,Dublin,1774,8vo
N15717,London,1716,8vo
R7874,London,1691,4to
N19220,London,1735,8vo
T105177,London,1706,8vo
T134538,London,1793,8vo
T148509,London,1772,8vo
T103579,London,1761,8vo
T219463,London,1716,2fo
T50666,London,1773,8vo
T190275,Edinburgh,1713,2fo
N22223,London,1713,12mo
T107691,Dublin,1741,12mo
T175811,Dublin,1768,12mo
T79763,London,1790,8vo
T182875,London,1706,8vo
T104764,London,1797,2fo
N17636,London,1775,4to
T112789,London,1719,8vo
T213286,London,1781,8vo
T86465,Edinburgh,1738,8vo
T83658,London,1737,8vo
R20263,London,1682,4to
T221756,London,1798,4to
T35067,London,1714,8vo
T96311,London,1774,8vo
S115503,London,1619,12mo
T46272,London,1706,2fo
R221522,London,1700,4to
T80320,London,1792,12mo
N48960,London,1740,12mo
T15151,London,1796,2fo
T93853,London,1709,8vo
N66903,London,1749,8vo
T201861,London,1795,4to
T139418,London,1746,8vo
T221495,London,1778,8vo
T141248,London,1727,8vo
T59404,London,NA,8vo
T98766,Edinburgh,1780,4to
N25847,London,1790,8vo
T148666,London,1797,2fo
T229056,Edinburgh,1738,4to
T130930,Edinburgh,1725,8vo
T202890,Dublin,1771,8vo
R20110,London,1671,4to
T94306,Dublin,1786,8vo
R207570,London,1654,4to
T91720,Dublin,1714,2fo
T10230,London,1768,8vo
R224980,London,1693,2fo
T113392,London,1787,4to
R216721,London,1685,8vo
R11389,London,1643,4to
T208496,London,1712,2fo
R7673,London,1649,4to
R477899,London,NA,NA
R171120,London,1662,12mo
T28448,London,1745,8vo
T10675,London,1701,4to
R40269,London,1660,4to
T172409,Dublin,1757,8vo
R766,London,1644,4to
R202768,London,1648,12mo
R21948,London,1648,8vo
T167731,London,1705,4to
T42263,London,1773,8vo
T11292,London,1732,8vo
T115902,London,1754,12mo
N58387,London,1784,2fo
T117749,London,1797,8vo
T76852,London,1717,8vo
T36386,London,1709,8vo
T182045,Dublin,1794,12mo
S118325,London,1621,8vo
T70314,London,1722,8vo
T32189,London,1795,8vo
R37261,London,1689,2fo
S107326,London,1608,12mo
N3360,London,1782,8vo
T151052,London,1767,12mo
N29686,Edinburgh,1755,4to
T132084,Edinburgh,1764,12mo
N4560,London,1794,12mo
S95277,London,1622,8vo
T21596,London,1721,8vo
N544,London,1758,8vo
T2727,London,1783,8vo
T198206,Edinburgh,1794,4to
N52173,London,1794,12mo
S109579,London,1623,8vo
T20545,London,1773,4to
R222908,Edinburgh,1695,NA
R215750,London,1663,4to
T65745,London,1765,2fo
T469251,London,1706,2fo
N15666,London,1733,2fo
T178026,Dublin,1795,12mo
S91597,London,1621,2fo
T126862,London,1761,8vo
T87316,London,1712,12mo
S124857,London,1639,4to
P2287,London,1782,8vo
T121516,Edinburgh,1783,12mo
R232569,London,1653,2fo
N4120,London,1797,8vo
R470566,London,1683,4to
S120213,London,1634,2fo
N29224,London,1783,12mo
N19642,Dublin,1792,8vo
N28307,London,1769,8vo
R172432,London,1671,24long
T59649,Dublin,1747,12mo
R19740,London,1664,2fo
T151902,London,1756,12mo
T115473,London,1723,12mo
T191950,Edinburgh,1719,8vo
N60471,London,1776,8vo
T232241,Dublin,1727,2fo
T190783,London,1790,2fo
R20580,London,1689,2fo
R185415,London,1681,2fo
T16330,London,1779,8vo
R173226,London,1692,12mo
S119100,London,1637,8vo
R38162,London,1691,8vo
R181557,London,1700,2fo
T178046,London,1722,12mo
T121109,London,1722,8vo
S102101,London,1584,4to
R230800,London,1661,8vo
R171730,London,1660,4to
N61403,London,1701,2fo
T86092,London,1765,4to
T77215,London,1791,2fo
S92461,London,1639,4to
R180056,London,1677,2fo
T79527,London,1712,8vo
N71338,Dublin,1797,12mo
T482644,London,1781,2fo
T215695,Dublin,1739,8vo
R236448,London,1679,2fo
R220051,London,1696,2fo
R235995,London,1690,2fo
S2936,London,1627,NA
R200697,London,1660,2fo
R204831,London,1656,4to
R204646,London,1647,4to
N474161,London,1787,8vo
