letter_id,from_id,from_name,to_id,to_name,date
1,E006019-S012734-T000000,"Dr. Ralph Cudworth, Master of Christ&#x0027;s College",E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-01-31
2,E006019-S012734-T000000,"Dr. Ralph Cudworth, Master of Christ&#x0027;s College",E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-01-31
3,E011771-S014372-T000000,"Hyde, Edward",E015294-S041287-T000000,Sir Edward Nicholas,1670-12-31
4,E015103-S043299-T000000,Sir Philip Musgrave,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-01-03
5,E020134-S040615-T000000,"Taylor, Silas",E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-01-04
6,E014743-S041280-T000000,Sir Edward Misselden,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-01-04
7,E015103-S043299-T000000,Sir Philip Musgrave,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-01-06
8,E020485-S043979-T000000,Sir Thomas Allin,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-01-07
9,E020485-S043979-T000000,Sir Thomas Allin,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-01-11
10,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E012005-S020946-T000000,"James II and VII, King of England, Scotland, and Ireland",1670-01-12
11,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E012005-S020946-T000000,"James II and VII, King of England, Scotland, and Ireland",1670-01-14
12,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E012005-S020946-T000000,"James II and VII, King of England, Scotland, and Ireland",1670-01-15
13,E015103-S043299-T000000,Sir Philip Musgrave,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-01-17
14,E007992-S018852-T000000,"Heneage Finch, Earl of Winchilsea",E001993-S018912-T000000,"Henry Bennet, Earl of Arlington",1670-01-18
15,E007902-S023013-T000000,"John Fell, Bishop of Oxford",E012119-S043025-T000000,Sir Leoline Jenkins,1670-01-19
16,E020485-S043979-T000000,Sir Thomas Allin,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-01-21
17,E020485-S043979-T000000,Sir Thomas Allin,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-01-30
18,E015103-S043299-T000000,Sir Philip Musgrave,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-01-31
19,S035587,"Philadelphia, Lady Wentworth",E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-02-05
20,E918239-S043259-T000000,"Wyche, Peter (Sir)",E001993-S018912-T000000,"Henry Bennet, Earl of Arlington",1670-02-06
21,E015103-S043299-T000000,Sir Philip Musgrave,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-02-07
22,E014743-S041280-T000000,Sir Edward Misselden,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-02-15
23,E015333-S052172-T000000,William Nicholson,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-02-15
24,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E000312-S012741-T000000,Dr. Richard Allestree,1670-02-17
25,E014743-S041280-T000000,Sir Edward Misselden,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-02-18
26,E006019-S012734-T000000,"Dr. Ralph Cudworth, Master of Christ&#x0027;s College",E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-02-19
27,E300364-S022991-T000000,John Evelyn,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-02-28
28,E001993-S018912-T000000,"Henry Bennet, Earl of Arlington",E005561-S012565-T000000,"Dr. John Cosin, Vice-Chancellor of Cambridge University",1670-03-02
29,S044898,Sir. Edward Spragg,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-03-04
30,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S012732,Dr. Ralph Brideoke,1670-03-12
31,E003555-S038426-T000000,"Robert Bruce, Earl of Elgin and Ailesbury",E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-03-24
32,E022114-S041675-T000000,Sir George Downing,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-03-24
33,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E903387-S043701-T000000,Sir Robert Holmes,1670-04-30
34,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E000312-S012741-T000000,Dr. Richard Allestree,1670-04-02
35,S044898,Sir. Edward Spragg,E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-04-10
36,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E012005-S020946-T000000,"James II and VII, King of England, Scotland, and Ireland",1670-04-10
37,E019544-S012615-T000000,"Spencer, John (Dr)",E001993-S018912-T000000,"Henry Bennet, Earl of Arlington",1670-04-15
38,S047442,"Thomas Belasyse, Earl of Fauconberg",E001993-S018912-T000000,"Henry Bennet, Earl of Arlington",1670-04-25
39,S024860,"John, Lord Lovelace",E022443-S042999-T000000,"Williamson, Joseph (Sir)",1670-04-18
