letter_id,from_id,from_name,to_id,to_name
1,1,Arthur Remys,124,Mr. Carnsew
2,1,Arthur Remys,2,William Carnsew
3,2,William Carnsew,17,Lady Grace Carnsew
4,3,Degorye Wills,117,Mathew Carnsew
5,2,William Carnsew,24,Richard Carnsew
6,4,Amye Champernowne,28,Sir Richard Carnsew
7,5,Ane Carnsew,24,Richard Carnsew
8,6,Emanuell Shere,24,Richard Carnsew
9,7,Francis Drake,24,Richard Carnsew
10,8,Grace Cruse,68,Thomas Cruse
11,9,Henrye Lower,24,Richard Carnsew
12,10,Humfrey Marten,24,Richard Carnsew
13,11,Humfrey Stowe,24,Richard Carnsew
14,12,Humfry Lower,28,Sir Richard Carnsew
15,13,Humfry Sloggat,24,Richard Carnsew
16,14,John Amadas,24,Richard Carnsew
17,14,John Amadas,28,Sir Richard Carnsew
18,15,John Goldsmythe,24,Richard Carnsew
19,16,John Gruyte,28,Sir Richard Carnsew
20,17,Lady Grace Carnsew,24,Richard Carnsew
21,17,Lady Grace Carnsew,28,Sir Richard Carnsew
22,18,Bridget Treffry,28,Sir Richard Carnsew
23,19,Bridgett Champernowne,24,Richard Carnsew
24,20,Nicholas Glyn,24,Richard Carnsew
25,21,Peter Spenott,24,Richard Carnsew
26,22,Raphe Fetherstonne,125,Richard Hill
27,23,Reignold Billing,24,Richard Carnsew
28,23,Reignold Billing,28,Sir Richard Carnsew
29,24,Richard Carnsew,126,Hary Chapernowne
30,24,Richard Carnsew,127,Hugh Boscawine
31,24,Richard Carnsew,128,John Coocke
32,24,Richard Carnsew,129,John Samuell
33,24,Richard Carnsew,130,Marke Pondys
34,24,Richard Carnsew,131,Mr. Bird
35,24,Richard Carnsew,132,Mr. Escott
36,24,Richard Carnsew,133,Mr. Helinge
37,24,Richard Carnsew,134,Mr. Mins
38,24,Richard Carnsew,135,Nicholas Opie
39,24,Richard Carnsew,26,Roger Squier
40,24,Richard Carnsew,136,Sir Edwarde Harris
41,24,Richard Carnsew,137,"Sir John Specott, High Sheriff of Cornwall"
42,24,Richard Carnsew,68,Thomas Cruse
43,25,Richard Williams,28,Sir Richard Carnsew
44,24,Richard Carnsew,105,Robert Moore
45,26,Roger Squier,28,Sir Richard Carnsew
46,17,Lady Grace Carnsew,138,Adm. Moylle
47,24,Richard Carnsew,139,Sidiake Mathew
48,27,Capt. Nicholas Burton,28,Sir Richard Carnsew
49,28,Sir Richard Carnsew,140,Jeffery
50,28,Sir Richard Carnsew,141,Richard Penhalowe
51,28,Sir Richard Carnsew,142,Robert Doyly
52,24,Richard Carnsew,43,Thomas Bodleigh
53,28,Sir Richard Carnsew,143,Thomas Bossawsack
54,28,Sir Richard Carnsew,68,Thomas Cruse
55,28,Sir Richard Carnsew,144,Thomas Hornabrooke
56,28,Sir Richard Carnsew,145,Thomas Monck
57,24,Richard Carnsew,116,Thomas Nicholls
58,28,Sir Richard Carnsew,146,William Morsill
59,24,Richard Carnsew,147,William Short
60,24,Richard Carnsew,148,John Bond
61,29,Agnes Austin,149,Mary Barrett
62,28,Sir Richard Carnsew,29,Agnes Austin
63,24,Richard Carnsew,150,Richard Mills
64,24,Richard Carnsew,151,Alice Pointer
65,28,Sir Richard Carnsew,152,Ursula Treffry
66,24,Richard Carnsew,153,Jasper Bridgeman
67,28,Sir Richard Carnsew,154,Matthew Treffry
68,2,William Carnsew,155,William Emett
69,28,Sir Richard Carnsew,44,Thomas Kendall
70,28,Sir Richard Carnsew,115,Francis Penkevell
71,24,Richard Carnsew,156,Edward Yeo
72,24,Richard Carnsew,157,Sir George Greynvil
73,22,Raphe Fetherstonne,24,Richard Carnsew
74,30,Mary Denham,117,Mathew Carnsew
75,24,Richard Carnsew,158,The Churchwardens of St. Kewe
76,2,William Carnsew,159,Thomas Halswell
77,31,Christopher Creed,160,Honor Langford
78,24,Richard Carnsew,58,John Wood
79,24,Richard Carnsew,161,Emanuell Langford
80,24,Richard Carnsew,162,Margaret Hyll
81,24,Richard Carnsew,163,Robart Hayman
82,2,William Carnsew,3,Degorye Wills
83,2,William Carnsew,164,Edmund Garrard
84,2,William Carnsew,117,Mathew Carnsew
85,2,William Carnsew,165,Jo. Heath
86,24,Richard Carnsew,166,John Lipatte
87,32,Richard Webber,117,Mathew Carnsew
88,24,Richard Carnsew,123,Margaret Hill
89,2,William Carnsew,167,Roger Braban
90,24,Richard Carnsew,168,Richard Langherne
91,24,Richard Carnsew,169,W. Rescarrocke
92,33,Richard Billinge,117,Mathew Carnsew
93,2,William Carnsew,27,Capt. Nicholas Burton
94,34,John Dolife,170,Mr. William Rolfe
95,35,John Pymount,170,Mr. William Rolfe
96,36,Robert Beners,170,Mr. William Rolfe
97,37,Robert Preston,170,Mr. William Rolfe
98,24,Richard Carnsew,171,Stephen Rawlyn
99,38,W. Harrington,46,Sir Faithful Fortescue
100,37,Robert Preston,172,LandLord Shillito
101,39,George Shelleto,170,Mr. William Rolfe
102,24,Richard Carnsew,173,Thomas Riche
103,2,William Carnsew,174,George Gist
104,24,Richard Carnsew,175,Honor Toker
105,24,Richard Carnsew,176,Digori Wills
106,24,Richard Carnsew,177,Roger Webber
107,24,Richard Carnsew,178,Pathericke Jenkyn
108,24,Richard Carnsew,27,Capt. Nicholas Burton
109,24,Richard Carnsew,179,Christill Constabell
110,24,Richard Carnsew,180,William Roskrow
111,24,Richard Carnsew,181,Katherine Polwhede
112,24,Richard Carnsew,174,George Gist
113,24,Richard Carnsew,182,William Noye
114,24,Richard Carnsew,183,Ambrose Manintone
115,24,Richard Carnsew,184,Humfrey Kempe
116,24,Richard Carnsew,185,Thomas Treffy
117,26,Roger Squier,186,Ralphe Kete
118,24,Richard Carnsew,187,Jero. Walker
119,24,Richard Carnsew,188,John Jeffrey
120,24,Richard Carnsew,189,William Havosow
121,24,Richard Carnsew,190,Hughe Pruste
122,24,Richard Carnsew,32,Richard Webber
123,24,Richard Carnsew,191,Hugh Beheathlam
124,24,Richard Carnsew,192,John Jelbeard
125,40,Barnard Grenvile,193,Sheriff of Cornwall
126,2,William Carnsew,194,Anthony Turpyn
127,24,Richard Carnsew,195,William Dandy
128,24,Richard Carnsew,196,Peter Roskrowe
129,24,Richard Carnsew,197,Andrew Fenton
130,24,Richard Carnsew,198,Digorey Bordon
131,24,Richard Carnsew,199,Digory Penvond
132,24,Richard Carnsew,200,John Beaford
133,28,Sir Richard Carnsew,201,Richard Penhallow
134,28,Sir Richard Carnsew,202,Thomas Peares
135,28,Sir Richard Carnsew,125,Richard Hill
136,28,Sir Richard Carnsew,203,Andrew Whettlye
137,28,Sir Richard Carnsew,204,William Warmington
138,28,Sir Richard Carnsew,40,Barnard Grenvile
139,28,Sir Richard Carnsew,205,John Foote
140,17,Lady Grace Carnsew,206,Thomas Eade
141,17,Lady Grace Carnsew,68,Thomas Cruse
142,28,Sir Richard Carnsew,32,Richard Webber
143,28,Sir Richard Carnsew,207,Holman
144,41,John Yeo,117,Mathew Carnsew
145,28,Sir Richard Carnsew,208,Joseph Jeffrey
146,17,Lady Grace Carnsew,42,Sir Richard
147,28,Sir Richard Carnsew,162,Margaret Hyll
148,17,Lady Grace Carnsew,23,Reignold Billing
149,42,Sir Richard,209,Mr. Macye
150,42,Sir Richard,137,"Sir John Specott, High Sheriff of Cornwall"
151,28,Sir Richard Carnsew,86,John Davies
152,28,Sir Richard Carnsew,210,John Rills
153,28,Sir Richard Carnsew,211,Mr. Hambly
154,28,Sir Richard Carnsew,212,Mr. Lucas
155,28,Sir Richard Carnsew,213,Mr. Prideaux
156,28,Sir Richard Carnsew,214,Mr. Smithe
157,28,Sir Richard Carnsew,33,Richard Billinge
158,43,Thomas Bodleigh,215,Tristram Soby
159,17,Lady Grace Carnsew,44,Thomas Kendall
160,44,Thomas Kendall,216,Rowland Byllinge
161,2,William Carnsew,28,Sir Richard Carnsew
162,28,Sir Richard Carnsew,217,Humfry Hyll
163,16,John Gruyte,17,Lady Grace Carnsew
164,7,Francis Drake,28,Sir Richard Carnsew
165,28,Sir Richard Carnsew,218,J. Bassett
166,28,Sir Richard Carnsew,183,Ambrose Manintone
167,28,Sir Richard Carnsew,219,Edward Coswarthe
168,28,Sir Richard Carnsew,58,John Wood
169,28,Sir Richard Carnsew,220,Edward Courtenay
170,17,Lady Grace Carnsew,221,Mary Sharp
171,17,Lady Grace Carnsew,222,William Sharp
172,28,Sir Richard Carnsew,223,Richard Harbyn
173,2,William Carnsew,48,Reskymer Bonython
174,28,Sir Richard Carnsew,224,William Elston
175,28,Sir Richard Carnsew,225,Humfrye Nycoll
176,45,William Prideaux,225,Humfrye Nycoll
177,28,Sir Richard Carnsew,226,Geo. Bond
178,28,Sir Richard Carnsew,227,Anthony Penkevell
179,28,Sir Richard Carnsew,228,William Coade
180,28,Sir Richard Carnsew,229,William Roscorocke
181,28,Sir Richard Carnsew,85,Ralph Byrd
182,28,Sir Richard Carnsew,230,John Spulde
183,44,Thomas Kendall,231,Sir Edward
184,23,Reignold Billing,31,Christopher Creed
185,28,Sir Richard Carnsew,232,William Gyl
186,28,Sir Richard Carnsew,233,Peter Hallamore
187,17,Lady Grace Carnsew,234,William Rogers
188,28,Sir Richard Carnsew,234,William Rogers
189,46,Sir Faithful Fortescue,235,Sir Foulke Conway
190,28,Sir Richard Carnsew,31,Christopher Creed
191,47,Francis Crane,236,Nicholas Glynne
192,48,Reskymer Bonython,47,Francis Crane
193,28,Sir Richard Carnsew,47,Francis Crane
194,49,H. Fans,236,Nicholas Glynne
195,48,Reskymer Bonython,49,H. Fans
196,28,Sir Richard Carnsew,49,H. Fans
197,28,Sir Richard Carnsew,123,Margaret Hill
198,28,Sir Richard Carnsew,237,Mr. Gibbons
199,28,Sir Richard Carnsew,238,Jo. Samuell
200,2,William Carnsew,86,John Davies
201,28,Sir Richard Carnsew,239,Henry Carnsew
202,28,Sir Richard Carnsew,240,Nicholas Lower
203,50,Philip Flemyng,65,William Weld
204,28,Sir Richard Carnsew,107,William Samuell
205,51,Alice Thurrgood,80,William Mellow
206,52,Four Ordinary Pages of the Chamber to the late Queen Anne,241,Commissioners for his late Majesty&#x0027;s funeral
207,53,"Minister and Churchwardens of All Hallows, Barking",241,Commissioners for his late Majesty&#x0027;s funeral
208,54,William Tomson,241,Commissioners for his late Majesty&#x0027;s funeral
209,55,Henry Brenning,241,Commissioners for his late Majesty&#x0027;s funeral
