name,main_name,all_names,links,birth_year,death_year,gender,roles_titles,wikidata_item,occupations,place_of_birth,place_of_death,politician
E006019-S012734-T000000,"Dr. Ralph Cudworth, Master of Christ&#x0027;s College","Dr. Ralph Cudworth, Master of Christ&#x0027;s College; Cudworth, Ralph",https://en.wikipedia.org/wiki/Ralph_Cudworth,1617,1688,male,theologian; university teacher; philosopher,http://www.wikidata.org/entity/Q528261,theologian; university teacher; philosopher,Aller,Cambridge,no
E011771-S014372-T000000,"Hyde, Edward","Edward Hyde, Earl of Clarendon; Hyde, Edward","https://en.wikipedia.org/wiki/Edward_Hyde,_1st_Earl_of_Clarendon",1609,1674,male,judge; politician; historian,http://www.wikidata.org/entity/Q335173,judge; politician; historian,London,Rouen,yes
E015103-S043299-T000000,Sir Philip Musgrave,"Sir Philip Musgrave; Musgrave, Philip (Sir)","https://en.wikipedia.org/wiki/Sir_Philip_Musgrave,_2nd_Baronet",1607,1678,male,politician,http://www.wikidata.org/entity/Q7528487,politician,NA,NA,yes
E020134-S040615-T000000,"Taylor, Silas","Silas Taylor; Taylor, Silas",https://en.wikipedia.org/wiki/Silas_Taylor,1624,1678,male,composer,http://www.wikidata.org/entity/Q15994779,composer,NA,NA,no
E014743-S041280-T000000,Sir Edward Misselden,"Sir Edward Misselden; Misselden, Edward",https://en.wikipedia.org/wiki/Edward_Misselden,1608,1654,male,economist,http://www.wikidata.org/entity/Q460400,economist,NA,NA,no
E020485-S043979-T000000,Sir Thomas Allin,"Sir Thomas Allin; Allin, Thomas (Sir)","https://en.wikipedia.org/wiki/Sir_Thomas_Allin,_1st_Baronet",1612,1685,male,naval officer; ship captain,http://www.wikidata.org/entity/Q7529030,naval officer; ship captain,Lowestoft,NA,no
E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland","Charles II; Charles II, King of England, Scotland, and Ireland",https://en.wikipedia.org/wiki/Charles_II_of_England,1630,1685,male,sovereign; slave trader; politician,http://www.wikidata.org/entity/Q122553,sovereign; slave trader; politician,London,London,yes
E007992-S018852-T000000,"Heneage Finch, Earl of Winchilsea","Heneage Finch, Earl of Winchilsea; Finch, Heneage","https://en.wikipedia.org/wiki/Heneage_Finch,_3rd_Earl_of_Winchilsea",1628,1689,male,diplomat,http://www.wikidata.org/entity/Q5714116,diplomat,England,England,no
E007902-S023013-T000000,"John Fell, Bishop of Oxford","John Fell, Bishop of Oxford; Fell, John",https://en.wikipedia.org/wiki/John_Fell_(bishop),1625,1686,male,priest,http://www.wikidata.org/entity/Q6232906,priest,Longworth,NA,no
S035587,"Philadelphia, Lady Wentworth","Philadelphia, Lady Wentworth","https://en.wikipedia.org/wiki/Thomas_Wentworth,_5th_Baron_Wentworth",1612,1665,female,politician,http://www.wikidata.org/entity/Q6236215,politician,NA,NA,yes
E918239-S043259-T000000,"Wyche, Peter (Sir)","Sir Peter Wiche; Wyche, Peter (Sir)",https://en.wikipedia.org/wiki/Peter_Wyche_(ambassador),1590,1643,male,diplomat,http://www.wikidata.org/entity/Q7177805,diplomat,NA,Oxford,no
E015333-S052172-T000000,William Nicholson,"William Nicholson; Nicholson, William",https://en.wikipedia.org/wiki/William_Nicholson_(bishop_of_Gloucester),1591,1672,male,bishop,http://www.wikidata.org/entity/Q8016132,bishop,Stratford St. Mary,NA,no
E300364-S022991-T000000,John Evelyn,"John Evelyn; Evelyn, John",https://en.wikipedia.org/wiki/John_Evelyn,1620,1706,male,horticulturist; gardener; diarist,http://www.wikidata.org/entity/Q342712,horticulturist; gardener; diarist,Wotton,London,no
E001993-S018912-T000000,"Henry Bennet, Earl of Arlington","Henry Bennet, Earl of Arlington; Bennet, Henry","https://en.wikipedia.org/wiki/Henry_Bennet,_1st_Earl_of_Arlington",1618,1685,male,politician; diplomat,http://www.wikidata.org/entity/Q953718,politician; diplomat,Suffolk,NA,yes
S044898,Sir. Edward Spragg,Sir. Edward Spragg,https://en.wikipedia.org/wiki/Edward_Spragge,1629,1673,male,politician; privateer,http://www.wikidata.org/entity/Q769602,politician; privateer,County Roscommon,NA,yes
